product_id,Brand,Ram,Storage,Display,Touch,Color,Build_quality,OS,Price
1,Dell,16GB,512GB SSD,15.6 inch,No,Black,Fair,Windows,521.51
2,Dell,8GB,256GB SSD,15.6 inch,Yes,Gray,Excellent,MacOS,2377.26
3,HP,16GB,1TB SSD,16 inch,Yes,Gray,Excellent,Windows,1091.66
4,Lenovo,16GB,256GB SSD,13.3 inch,Yes,Black,Fair,Linux,2314.08
5,Apple,16GB,1TB SSD,15.6 inch,Yes,,Fair,MacOS,1265.25
6,Asus,8GB,1TB SSD,16 inch,Yes,Black,Excellent,Windows,1196.75
7,Lenovo,8GB,256GB SSD,13.3 inch,Yes,Silver,Excellent,Linux,964.23
8,Lenovo,32GB,512GB SSD,13.3 inch,Yes,Gray,Excellent,Linux,2236.16
9,Lenovo,32GB,1TB SSD,14 inch,No,Black,Excellent,Windows,1694.05
10,HP,16GB,256GB SSD,15.6 inch,Yes,,Fair,Windows,2098.55
11,Apple,16GB,256GB SSD,13.3 inch,Yes,Silver,Good,MacOS,1642.93
12,Dell,8GB,512GB SSD,16 inch,Yes,Gray,Fair,Windows,1127.86
13,HP,16GB,1TB SSD,14 inch,No,Gray,Fair,Windows,939.19
14,Dell,4GB,512GB SSD,16 inch,Yes,Black,Excellent,Windows,2092.94
15,Apple,4GB,512GB SSD,16 inch,Yes,Silver,Good,Linux,2350.63
16,Dell,4GB,256GB SSD,13.3 inch,Yes,,Good,MacOS,1989.68
17,Asus,8GB,512GB SSD,15.6 inch,No,Silver,Fair,Windows,1944.6
18,Asus,32GB,512GB SSD,15.6 inch,Yes,Silver,Excellent,Windows,1857.27
19,Apple,16GB,1TB SSD,15.6 inch,No,Silver,Excellent,MacOS,1227.88
20,Lenovo,32GB,512GB SSD,16 inch,Yes,Gray,Good,MacOS,2055.48
21,Acer,32GB,256GB SSD,14 inch,Yes,Gray,Good,Windows,1749.32
22,Lenovo,16GB,256GB SSD,16 inch,Yes,Black,Fair,Linux,1842.62
23,Lenovo,32GB,256GB SSD,16 inch,Yes,Black,Fair,MacOS,445.08
24,Asus,4GB,1TB SSD,16 inch,Yes,Black,Excellent,Windows,2413.67
25,HP,16GB,1TB SSD,13.3 inch,No,Black,Good,Linux,1389.44
26,Acer,8GB,256GB SSD,15.6 inch,No,Silver,Excellent,Windows,562.15
27,Apple,16GB,512GB SSD,16 inch,Yes,Gray,Good,MacOS,572.92
28,Asus,8GB,256GB SSD,15.6 inch,No,Black,Good,Linux,943.49
29,Lenovo,4GB,256GB SSD,13.3 inch,No,Silver,Excellent,MacOS,2367.16
30,Apple,32GB,1TB SSD,13.3 inch,No,Silver,Good,Linux,921.11
