product_id,Brand,Ram,Storage,Display,Touch,Color,Build_quality,OS,Price
1,Lenovo,32GB,256GB SSD,15.6 inch,Yes,Silver,Good,Linux,2093.25
2,Acer,32GB,256GB SSD,15.6 inch,Yes,Gray,Good,Windows,1502.22
3,HP,32GB,1TB SSD,16 inch,Yes,Silver,Good,Linux,1352.69
4,Lenovo,32GB,256GB SSD,15.6 inch,Yes,Gray,Excellent,Windows,2416.28
5,Asus,4GB,256GB SSD,16 inch,Yes,Gray,Good,Windows,2381.78
6,Acer,32GB,256GB SSD,15.6 inch,Yes,Black,Excellent,Linux,2140.34
7,Dell,16GB,256GB SSD,14 inch,Yes,Gray,Good,Linux,798.69
8,Asus,32GB,512GB SSD,14 inch,No,Silver,Fair,Linux,574.97
9,HP,4GB,512GB SSD,16 inch,Yes,Black,Excellent,Windows,1912.1
10,Acer,4GB,1TB SSD,15.6 inch,Yes,Silver,Fair,Windows,610.71
11,HP,16GB,512GB SSD,14 inch,Yes,Black,Good,Linux,2267.02
12,HP,4GB,512GB SSD,13.3 inch,No,Gray,Fair,Linux,573.65
13,Asus,16GB,1TB SSD,16 inch,No,Gray,Excellent,MacOS,1781.13
14,Lenovo,4GB,256GB SSD,13.3 inch,Yes,Black,Fair,MacOS,1848.95
15,Acer,32GB,1TB SSD,13.3 inch,No,,Good,MacOS,417.93
16,Apple,16GB,512GB SSD,15.6 inch,No,Silver,Excellent,Linux,2480.85
17,Lenovo,16GB,1TB SSD,15.6 inch,No,Black,Excellent,Windows,1912.2
18,Apple,16GB,1TB SSD,14 inch,No,Black,Fair,Linux,2132.09
19,HP,8GB,256GB SSD,15.6 inch,No,Silver,Good,Windows,2063.35
20,Apple,4GB,256GB SSD,14 inch,Yes,Silver,Good,Windows,1657.37
21,HP,8GB,512GB SSD,15.6 inch,Yes,Gray,Fair,Windows,895.68
22,Apple,8GB,512GB SSD,16 inch,No,,Fair,MacOS,1515.62
23,Apple,8GB,512GB SSD,13.3 inch,Yes,Gray,Good,Windows,1531.43
24,Apple,8GB,512GB SSD,13.3 inch,No,Gray,Good,Windows,824.28
25,HP,8GB,1TB SSD,14 inch,No,,Fair,Windows,1324.18
26,Apple,4GB,1TB SSD,15.6 inch,No,Silver,Excellent,MacOS,1963.29
27,Lenovo,4GB,512GB SSD,13.3 inch,Yes,Gray,Fair,Linux,442.81
28,Asus,8GB,1TB SSD,14 inch,Yes,Silver,Fair,MacOS,477.8
29,Dell,16GB,1TB SSD,16 inch,No,Silver,Good,Linux,2060.61
30,Lenovo,8GB,512GB SSD,16 inch,Yes,Gray,Fair,MacOS,2328.25
